Forkortelse;Nummer;Stationsnavn;10km_cell
AB;0;Aalborg;10km_632_55
ABL;1;Aalborg Lufthavn;10km_632_55
AR;2;Aarhus H;10km_622_57
BM;3;Bramming;10km_614_48
CPH;4;Københavns Lufthavn;10km_616_72
ES;5;Esbjerg;10km_614_46
FA;6;Fredericia;10km_615_54
FH;7;Frederikshavn;10km_636_59
HB;8;Hobro;10km_627_54
HG;9;Helsingør;10km_621_72
HJ;10;Hjørring;10km_636_55
HK;11;Holbæk;10km_617_67
HO;12;Holstebro;10km_624_47
HR;13;Herning;10km_622_49
HTÅ;14;"	Høje Taastrup";10km_617_70
KB;15;Kalundborg;10km_617_63
KD;16;Kolding;10km_614_53
KH;17;København H;10km_617_72
KJ;18;Køge;10km_615_70
KK;19;Østerport;10km_617_72
KØ;20;Korsør;10km_613_63
LG;21;Langå;10km_624_55
NÆ;22;Næstved;10km_612_67
NF;23;Nykøbing F;10km_607_68
NG;24;Nyborg;10km_613_61
OD;25;Odense;10km_614_58
OK;26;Kokkedal;10km_620_71
PA;27;Padborg;10km_607_52
RB;28;Ribe;10km_613_48
RE;29;Ringe;10km_612_59
RF;30;Rødby Færge;10km_605_65
RG;31;Ringsted;10km_614_67
RJ;32;Ringkøbing;10km_621_45
RO;33;Roskilde;10km_617_69
SD;34;Skanderborg;10km_621_55
SDB;35;Sønderborg;10km_608_55
SG;36;Slagelse;10km_614_64
SJ;37;Skjern;10km_620_46
SL;38;Silkeborg;10km_622_53
STR;39;Struer;10km_626_47
SVG;40;Svendborg;10km_610_60
TDR;41;Tønder;10km_608_49
TE;42;Tinglev;10km_608_51
TI;43;Thisted;10km_631_48
VA;44;Varde;10km_616_46
VG;45;Viborg;10km_625_52
VJ;46;Vejle;10km_617_53
VO;47;Vordingborg;10km_609_68